X,Y,ID,Case_Number,Address,Occurred_Date,Occurred_Month,Occurred_Year,Crime_Type,Multiple_Shooting,Gender,Race,Ethnicity,Victim_Age,Victim_Age_Band,Latitude,Longitude,ObjectId
-77.637170445,43.1646945110001,f9ecf2ae1c51a3da04df84fab6f49591,21-019806,424 Lyell Ave,2021/02/01 05:00:00+00,2,2021,Shooting,Yes,M,BLACK,NON HISPANIC,22,15-24,43.1646945110001,-77.637170445,128
-77.637170445,43.1646945110001,5470bf212efe100cc8e09adb6a0200d6,21-019806,424 Lyell Ave,2021/02/01 05:00:00+00,2,2021,Shooting,Yes,M,BLACK,NON HISPANIC,26,25-44,43.1646945110001,-77.637170445,129
-77.6337815919999,43.1504344250001,eed221e605871d40ffadb09b14508771,21-019159,799 W Main St,2021/01/31 05:00:00+00,1,2021,Shooting,No,M,BLACK,NON HISPANIC,21,15-24,43.1504344250001,-77.6337815919999,130
-77.632576145,43.1467803140001,e116d24bbfdbf7101a942efc4a2e1cf5,21-017299,226 Dr Samuel McCree Way,2021/01/28 05:00:00+00,1,2021,Shooting,Yes,M,BLACK,NON HISPANIC,17,15-24,43.1467803140001,-77.632576145,131
-77.632576145,43.1467803140001,d43d12b81dd70ce4a5d94ce748cca754,21-017299,226 Dr Samuel McCree Way,2021/01/28 05:00:00+00,1,2021,Shooting,Yes,M,BLACK,NON HISPANIC,31,25-44,43.1467803140001,-77.632576145,132
-77.613105446,43.1729627340001,699716bd54a71ce65848abff869d021c,21-015858,799 N Clinton Ave,2021/01/26 05:00:00+00,1,2021,Shooting,No,M,WHITE,HISPANIC,30,25-44,43.1729627340001,-77.613105446,133
-77.6216902309999,43.1445438600001,fb379e9c9cd20fce254407747270f297,21-012880,61 Champlain St,2021/01/21 05:00:00+00,1,2021,Shooting,No,M,BLACK,NON HISPANIC,27,25-44,43.1445438600001,-77.6216902309999,134
-77.6273572269999,43.143613203,328abc8f2d357665a35555cb96e804c0,21-011906,311 Frost Ave #2,2021/01/20 05:00:00+00,1,2021,Shooting,No,M,BLACK,NON HISPANIC,20,15-24,43.143613203,-77.6273572269999,135
-77.65114262,43.132576167,f4fa3cde8ea02660a2ab02b2dcb861fe,21-010858,615 Thurston Rd,2021/01/18 05:00:00+00,1,2021,Shooting,No,M,BLACK,NON HISPANIC,68,45-Older,43.132576167,-77.65114262,136
-77.645680058,43.181426377,5679068f51aeaec32a51ff50eb7fc282,21-010879,19 Dove St,2021/01/18 05:00:00+00,1,2021,Shooting,Yes,M,BLACK,NON HISPANIC,27,25-44,43.181426377,-77.645680058,137
-77.645680058,43.181426377,91045e4942b299b63556c515ed976592,21-010879,19 Dove St,2021/01/18 05:00:00+00,1,2021,Shooting,Yes,M,BLACK,NON HISPANIC,32,25-44,43.181426377,-77.645680058,138
-77.572477149,43.165518057,b25ef46937f7fc8bfe382afe015fd890,21-009505,239 Parsells Ave,2021/01/16 05:00:00+00,1,2021,Shooting,Yes,M,BLACK,NON HISPANIC,35,25-44,43.165518057,-77.572477149,139
-77.572477149,43.165518057,d2d1b2322b59a0d64fd3dc1d44c2fcbd,21-009505,239 Parsells Ave,2021/01/16 05:00:00+00,1,2021,Shooting,Yes,F,BLACK,NON HISPANIC,32,25-44,43.165518057,-77.572477149,140
-77.644155203,43.16153201,1aa1c073e4b8555e49fc75586c72b982,21-009948,171 Masseth St,2021/01/16 05:00:00+00,1,2021,Shooting,No,M,BLACK,NON HISPANIC,31,25-44,43.16153201,-77.644155203,141
-77.6077749359999,43.1815188040001,8a6220e494d74180d40b8a727f1b7424,21-006564,900 Joseph Ave,2021/01/11 05:00:00+00,1,2021,Shooting,No,M,BLACK,NON HISPANIC,23,15-24,43.1815188040001,-77.6077749359999,142
-77.641033319,43.1480050650001,e1ea04d708ec4af65dd36a05bb16509b,21-005649,31 Wellington Ave,2021/01/09 05:00:00+00,1,2021,Shooting,No,F,BLACK,NON HISPANIC,30,25-44,43.1480050650001,-77.641033319,143
-77.628198585,43.1676103730001,6afe69287079f79ef5fa5edfeeae885e,21-000749,844 N Plymouth Ave,2021/01/02 05:00:00+00,1,2021,Shooting,No,M,BLACK,NON HISPANIC,53,45-Older,43.1676103730001,-77.628198585,144
-77.6315401529999,43.1945815110001,538b019f276bc1fb597e847ef82d1ee2,20-285226,1 Bardin St,2020/12/31 05:00:00+00,12,2020,Homicide,No,M,BLACK,NON HISPANIC,63,45-Older,43.1945815110001,-77.6315401529999,145
-77.6127764299999,43.1746061440001,e053109caf350c06591ccc69993d173a,20-283725,886 N Clinton Ave,2020/12/29 05:00:00+00,12,2020,Homicide,No,F,BLACK,NON HISPANIC,19,15-24,43.1746061440001,-77.6127764299999,146
-77.5795179089999,43.166494776,7acb2d39ce04818fffb9773d30d88ad6,20-281477,60 Ferndale Cres,2020/12/25 05:00:00+00,12,2020,Shooting,No,F,WHITE,HISPANIC,22,15-24,43.166494776,-77.5795179089999,147
-77.632138255,43.155970649,f856834999eace81ec3f099b7feaab29,20-281636,88 Saxton St,2020/12/25 05:00:00+00,12,2020,Shooting,No,F,BLACK,NON HISPANIC,29,25-44,43.155970649,-77.632138255,148
-77.601909086,43.1783525130001,2c1f591e0c1b38d77c856a52d179e465,20-280749,307 Wilkins St,2020/12/24 05:00:00+00,12,2020,Shooting,No,F,BLACK,NON HISPANIC,32,25-44,43.1783525130001,-77.601909086,149
-77.6326785209999,43.135343934,95e3fa4dfeb54fd5e04c879fa3020a8e,20-279926,23 Elgin St,2020/12/23 05:00:00+00,12,2020,Homicide,No,M,BLACK,NON HISPANIC,55,45-Older,43.135343934,-77.6326785209999,150
-77.647080785,43.158034016,5c12375b7cc24d97843a20dbef92870e,20-279363,385 Hague St,2020/12/22 05:00:00+00,12,2020,Shooting,No,F,WHITE,NON HISPANIC,39,25-44,43.158034016,-77.647080785,151
-77.5806278969999,43.167215705,5ab9b2b51b8cc4b63124083c36a7d9ef,20-278776,720 N Goodman St,2020/12/21 05:00:00+00,12,2020,Shooting,No,M,BLACK,NON HISPANIC,45,45-Older,43.167215705,-77.5806278969999,152
-77.6107952149999,43.189981904,3bbe2ccacc65b60fc32af75b78464308,20-277786,50 Resolute Cir,2020/12/19 05:00:00+00,12,2020,Homicide,Yes,M,BLACK,NON HISPANIC,39,25-44,43.189981904,-77.6107952149999,153
